model_name,simulation_name,setting_name,measurements,observations,observations_test,basis_functions,noise,snr,seed,λ,λ_group,M
l0,paper,with_modulation_simplified,50,150,150,4,true,100,3,0,0,1.27187
l0,paper,with_modulation_simplified,50,400,150,4,true,100,1,0,0,1.27187
l0,paper,with_modulation_simplified,50,400,150,4,true,100,2,0,0,1.27187
l0,paper,with_modulation_simplified,50,400,150,4,true,100,3,0,0,1.27187
l0,paper,with_modulation_simplified,50,1000,150,4,true,100,1,0,0,1.27187
l0,paper,with_modulation_simplified,50,1000,150,4,true,100,2,0,0,1.27187
l0,paper,with_modulation_simplified,50,1000,150,4,true,100,3,0,0,1.27187
l0,paper,with_modulation_original,50,150,150,6,true,100,1,0,0,1.068
l0,paper,with_modulation_original,50,150,150,6,true,100,2,0,0,1.068
l0,paper,with_modulation_original,50,150,150,6,true,100,3,0,0,1.068
l0,paper,with_modulation_original,50,400,150,6,true,100,1,0,0,1.068
l0,paper,with_modulation_original,50,400,150,6,true,100,2,0,0,1.068
l0,paper,with_modulation_original,50,400,150,6,true,100,3,0,0,1.068
l0,paper,with_modulation_original,50,1000,150,6,true,100,1,0,0,1.068
l0,paper,with_modulation_original,50,1000,150,6,true,100,2,0,0,1.068
l0,paper,with_modulation_original,50,1000,150,6,true,100,3,0,0,1.068
l0,paper,with_modulation_original,50,150,150,4,true,100,1,0,0,1.068
l0,paper,with_modulation_original,50,150,150,4,true,100,2,0,0,1.068
l0,paper,with_modulation_original,50,150,150,4,true,100,3,0,0,1.068
l0,paper,with_modulation_original,50,400,150,4,true,100,1,0,0,1.068
l0,paper,with_modulation_original,50,400,150,4,true,100,2,0,0,1.068
l0,paper,with_modulation_original,50,400,150,4,true,100,3,0,0,1.068
l0,paper,with_modulation_original,50,1000,150,4,true,100,1,0,0,1.068
l0,paper,with_modulation_original,50,1000,150,4,true,100,2,0,0,1.068
l0,paper,with_modulation_super_simplified,50,150,150,6,true,100,1,0,0,1.068
l0,paper,with_modulation_super_simplified,50,150,150,6,true,100,2,0,0,1.068
l0,paper,with_modulation_super_simplified,50,150,150,6,true,100,3,0,0,1.068
l0,paper,with_modulation_super_simplified,50,400,150,6,true,100,1,0,0,1.068
l0,paper,with_modulation_super_simplified,50,400,150,6,true,100,2,0,0,1.068
l0,paper,with_modulation_super_simplified,50,400,150,6,true,100,3,0,0,1.068
l0,paper,with_modulation_super_simplified,50,1000,150,6,true,100,1,0,0,1.068
l0,paper,with_modulation_super_simplified,50,1000,150,6,true,100,2,0,0,1.068
l0,paper,with_modulation_super_simplified,50,1000,150,6,true,100,3,0,0,1.068
l0,paper,with_modulation_super_simplified,50,150,150,4,true,100,1,0,0,1.27187
l0,paper,with_modulation_super_simplified,50,150,150,4,true,100,2,0,0,1.27187
l0,paper,with_modulation_super_simplified,50,150,150,4,true,100,3,0,0,1.27187
l0,paper,with_modulation_super_simplified,50,400,150,4,true,100,1,0,0,1.27187
l0,paper,with_modulation_super_simplified,50,400,150,4,true,100,2,0,0,1.27187
l0,paper,with_modulation_super_simplified,50,400,150,4,true,100,3,0,0,1.27187
l0,paper,with_modulation_super_simplified,50,1000,150,4,true,100,1,0,0,1.27187
l0,paper,with_modulation_super_simplified,50,1000,150,4,true,100,2,0,0,1.27187
l0,paper,with_modulation_super_simplified,50,1000,150,4,true,100,3,0,0,1.27187
l0,paper,same_time_domain,500,3000,500,12,100,100,1,0,0,1.27187
l0,paper,same_time_domain,500,4000,500,12,100,100,1,0,0,1.27187
l0,paper,same_time_domain,500,6000,500,12,100,100,1,0,0,1.27187
